,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
1446,Florensac,11.6,23.5,13.3,9.7,10.3
1447,Frontignan,12.3,20.8,13.9,10.1,10.6
1448,Ganges,10.9,20.8,12.5,9.4,9.7
1449,Gigean,12.7,20.5,14.2,10.3,10.7
1450,Gignac,12.7,20.6,13.9,10.3,10.8
1451,Grabels,13.9,23.3,14.0,10.4,10.4
1452,Jacou,14.6,23.3,14.0,10.5,11.0
1453,Juvignac,14.8,25.0,15.4,10.3,10.8
1454,Lamalou-les-Bains,12.9,30.8,13.5,9.6,10.1
1455,Lansargues,14.2,24.8,13.5,11.1,10.7
1456,Lattes,15.5,25.3,15.4,10.9,10.8
1457,Lavérune,13.6,21.7,14.2,10.5,11.4
1458,Lespignan,12.2,22.1,14.1,9.9,10.9
1459,Lignan-sur-Orb,13.5,22.5,14.9,10.4,11.6
1460,Lodève,11.2,21.3,13.2,9.4,10.3
1461,Loupian,12.9,23.7,14.6,10.1,10.5
1462,Lunel,12.0,21.2,13.6,10.0,10.3
1463,Lunel-Viel,12.8,21.8,14.0,10.4,10.3
1464,Magalas,12.3,21.8,14.1,10.0,11.0
1465,Maraussan,12.1,20.3,14.3,10.3,10.8
1466,Marseillan,11.3,20.8,13.2,9.5,10.1
1467,Marsillargues,13.0,25.1,14.0,10.3,11.1
1468,Mauguio,14.1,23.4,14.7,10.5,10.6
1469,Mèze,12.6,22.9,13.8,10.0,10.3
1470,Mireval,13.1,22.7,14.2,10.6,10.4
1471,Montady,12.5,21.2,13.8,10.0,11.2
1472,Montagnac,11.6,22.6,13.5,9.4,10.4
1473,Montarnaud,14.4,24.4,14.3,10.5,10.9
1474,Montbazin,13.8,23.4,14.3,10.5,11.0
1475,Montblanc,12.6,22.8,14.4,10.1,10.9
1476,Montferrier-sur-Lez,21.5,36.1,14.3,11.4,11.8
1477,Montpellier,13.0,21.6,13.6,10.1,10.0
1478,Mudaison,14.7,23.9,14.5,10.9,10.4
1479,Murviel-lès-Béziers,12.2,21.5,14.4,10.0,10.7
1480,Nissan-lez-Enserune,11.9,21.8,13.2,10.1,10.5
1481,Palavas-les-Flots,13.0,22.6,14.3,10.0,10.4
1482,Paulhan,11.3,21.7,13.0,9.6,10.3
1483,Pérols,15.6,25.6,16.1,10.6,10.7
1484,Pézenas,11.6,23.4,13.7,9.4,9.7
1485,Pignan,14.3,24.4,14.5,10.7,10.6
1486,Pomérols,12.2,23.4,15.1,10.0,10.3
1487,Portiragnes,12.7,23.3,14.5,10.0,11.0
1488,Poussan,12.8,21.6,14.4,10.3,10.5
1489,Prades-le-Lez,15.5,25.0,14.6,10.6,10.5
1490,Puisserguier,11.7,21.1,13.5,9.6,10.3
1491,Saint-André-de-Sangonis,12.7,22.2,14.1,10.1,10.4
1492,Saint-Aunès,15.1,25.8,14.8,10.4,9.8
1493,Saint-Brès,13.7,22.6,14.1,10.8,10.7
1494,Saint-Clément-de-Rivière,21.1,31.8,15.4,11.7,12.9
1495,Saint-Drézéry,15.9,25.7,14.9,10.5,10.9
1496,Saint-Gély-du-Fesc,18.3,28.2,16.8,11.1,10.8
1497,Saint-Georges-d'Orques,14.5,25.0,15.3,10.7,10.7
1498,Saint-Jean-de-Védas,16.4,25.7,16.0,11.3,11.0
1499,Saint-Just,13.1,21.8,14.1,10.5,10.4
1500,Saint-Martin-de-Londres,13.2,22.8,13.6,10.4,9.4
1501,Saint-Mathieu-de-Tréviers,14.7,23.8,14.1,10.7,10.4
1502,Saint-Pargoire,12.6,19.6,13.7,10.3,11.8
