,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
2714,Sarreguemines,12.6,25.0,13.8,9.8,10.7
2715,Schoeneck,12.6,24.3,14.2,10.4,11.2
2716,Scy-Chazelles,16.1,28.1,16.4,10.4,10.7
2717,Serémange-Erzange,12.3,21.0,15.3,10.0,11.2
2718,Spicheren,13.9,25.0,14.3,10.0,11.8
2719,Stiring-Wendel,11.2,21.9,13.4,9.7,10.6
2720,Talange,11.7,20.6,13.9,9.8,11.1
2721,Terville,13.0,23.7,15.9,9.9,10.4
2722,Théding,12.1,24.0,13.2,9.9,10.7
2723,Thionville,13.7,25.9,15.7,10.0,10.7
2724,Uckange,11.7,20.1,14.6,9.5,10.8
2725,Valmont,13.4,26.4,15.3,10.3,9.8
2726,Vitry-sur-Orne,12.6,22.0,14.4,9.8,11.8
2727,Woippy,12.1,23.2,14.7,9.7,10.5
2728,Woustviller,13.1,23.8,14.6,10.1,11.4
2729,Yutz,12.7,22.4,14.7,10.0,11.0
2730,La Charité-sur-Loire,11.9,23.3,13.1,9.8,10.3
2731,Château-Chinon (Ville),11.2,22.2,12.7,9.2,9.8
2732,Clamecy,11.2,22.8,13.9,9.7,10.1
2733,Cosne-Cours-sur-Loire,12.9,25.4,15.0,10.0,10.4
2734,Coulanges-lès-Nevers,13.3,24.1,13.8,10.8,10.9
2735,Decize,11.6,22.4,13.4,9.7,10.1
2736,Fourchambault,11.4,19.7,14.5,9.7,10.6
2737,Garchizy,11.6,22.0,13.7,9.9,10.8
2738,Guérigny,12.0,21.7,13.7,9.6,11.1
2739,Imphy,12.0,20.7,14.7,9.5,11.1
2740,La Machine,11.4,23.3,14.3,9.5,10.9
2741,Marzy,14.5,25.0,15.0,10.6,12.3
2742,Nevers,12.2,22.5,13.5,9.9,10.2
2743,Pougues-les-Eaux,13.2,22.9,14.4,10.4,11.1
2744,Saint-Éloi,13.8,22.0,14.4,10.8,11.6
2745,Saint-Léger-des-Vignes,11.7,19.3,14.1,9.9,11.0
2746,Saint-Pierre-le-Moûtier,11.7,18.5,13.3,10.0,10.8
2747,Varennes-Vauzelles,12.5,23.4,14.2,10.2,10.9
2748,Abscon,12.0,20.1,14.0,10.1,11.1
2749,Allennes-les-Marais,14.4,22.1,15.0,11.3,11.3
2750,Aniche,11.6,20.6,13.4,9.7,11.2
2751,Villeneuve-d'Ascq,14.8,23.8,14.4,10.7,10.4
2752,Annoeullin,13.9,22.7,14.4,10.7,10.9
2753,Anor,11.3,21.9,13.3,9.6,10.3
2754,Anzin,11.1,19.0,13.0,9.9,10.2
2755,Arleux,12.7,20.8,14.7,10.1,12.1
2756,Armbouts-Cappel,14.2,23.3,15.3,10.7,12.6
2757,Armentières,11.8,22.1,13.2,10.1,10.2
2758,Attiches,15.9,25.3,15.5,11.2,11.1
2759,Auberchicourt,12.1,20.1,13.6,10.3,11.2
2760,Auby,11.7,19.4,13.4,10.0,11.3
2761,Aulnoy-lez-Valenciennes,12.5,22.0,13.7,10.2,10.9
2762,Aulnoye-Aymeries,12.0,21.9,14.0,10.0,11.2
2763,Avelin,17.0,24.2,14.9,11.5,12.4
2764,Avesnelles,12.3,24.3,14.2,10.6,10.9
2765,Avesnes-sur-Helpe,11.3,21.1,13.1,9.8,10.5
2766,Avesnes-les-Aubert,11.6,22.0,13.4,10.0,10.7
2767,Bachant,11.9,18.9,14.5,9.7,11.4
2768,Bailleul,13.0,22.5,14.2,10.3,11.1
2769,Baisieux,15.6,23.9,14.9,11.4,11.6
2770,La Bassée,12.2,22.4,13.4,10.2,10.6
2771,Bauvin,12.7,20.4,14.3,10.8,10.8
2772,Bavay,12.3,20.7,13.8,10.4,11.2
2773,Beauvois-en-Cambrésis,11.5,22.2,13.7,9.6,10.8
2774,Bergues,13.8,24.0,15.6,10.2,11.7
2775,Berlaimont,12.8,22.9,15.0,10.1,11.3
2776,Bersée,16.8,26.2,15.6,11.1,11.5
2777,Bertry,11.9,22.2,13.4,10.2,11.3
2778,Beuvrages,11.4,20.4,13.3,9.8,10.6
2779,Beuvry-la-Forêt,15.0,24.0,14.6,10.9,11.0
2780,Blaringhem,12.5,23.5,14.0,10.2,11.1
2781,Boeschepe,13.4,22.1,15.0,11.0,11.5
2782,Bondues,22.7,31.4,16.6,12.7,14.4
2783,Bouchain,12.7,22.6,15.0,10.0,11.1
2784,Bourbourg,12.6,22.2,15.0,9.7,11.5
2785,Bousbecque,14.0,25.0,14.3,10.4,11.3
2786,Boussois,12.2,22.3,13.9,9.7,11.5
2787,Bray-Dunes,13.8,25.0,14.4,10.1,13.2
2788,Bruay-sur-l'Escaut,11.6,19.8,13.6,10.1,10.9
2789,Busigny,12.0,21.0,14.7,9.5,11.0
2790,Cambrai,12.5,23.7,14.1,10.1,10.2
2791,Camphin-en-Pévèle,19.5,28.0,20.1,11.8,11.5
2792,Cappelle-en-Pévèle,16.3,25.3,15.1,11.8,11.2
2793,Cappelle-la-Grande,12.8,21.7,15.5,10.1,11.9
2794,Cassel,14.7,26.8,15.4,10.0,11.6
2795,Le Cateau-Cambrésis,10.8,21.0,13.3,9.6,9.9
2796,Caudry,11.5,22.6,13.5,9.7,10.6
2797,La Chapelle-d'Armentières,13.8,22.9,15.0,10.6,10.8
2798,Chéreng,18.4,26.8,14.5,12.3,12.8
2799,Comines,13.1,23.4,14.0,10.7,10.8
2800,Condé-sur-l'Escaut,11.3,20.7,13.3,9.7,10.4
2801,Coudekerque-Branche,12.6,22.3,14.5,10.1,11.8
2802,Courchelettes,13.2,25.8,14.6,10.0,11.7
2803,Cousolre,13.1,26.7,15.0,10.2,11.1
2804,Coutiches,16.3,23.0,17.8,11.3,11.9
2805,Crespin,12.1,22.0,14.3,9.8,10.9
2806,Croix,15.2,25.3,13.8,10.7,10.5
2807,Cuincy,13.7,22.7,15.1,10.6,11.9
2808,Cysoing,16.5,24.8,14.8,11.4,11.1
2809,Dechy,11.5,20.0,13.2,9.8,11.1
2810,Denain,11.0,21.3,13.4,9.8,10.2
2811,Douai,12.7,23.4,13.7,10.2,10.7
2812,Douchy-les-Mines,11.9,20.6,13.8,9.8,11.1
2813,Dunkerque,13.2,24.3,14.5,10.2,11.7
2814,Emmerin,14.6,22.3,14.8,11.4,11.4
2815,Ennevelin,16.8,24.7,15.2,12.5,11.5
2816,Erquinghem-Lys,12.9,21.0,13.8,10.6,11.0
2817,Escaudain,11.4,19.1,13.6,9.8,10.7
2818,Escaudoeuvres,13.0,24.7,15.3,9.9,10.9
2819,Escautpont,11.3,20.4,13.4,10.0,10.7
2820,Esquelbecq,13.9,24.5,14.9,11.0,11.4
2821,Estaires,12.7,22.7,14.2,10.1,11.3
2822,Faches-Thumesnil,13.9,22.7,13.8,10.7,10.7
2823,Famars,16.2,26.3,17.2,10.7,11.4
2824,Faumont,16.0,24.4,15.2,11.6,12.0
2825,Feignies,12.6,23.3,14.4,10.1,11.0
2826,Fenain,12.4,19.3,14.2,10.2,11.4
2827,Ferrière-la-Grande,13.8,41.9,14.2,10.3,11.1
2828,Flers-en-Escrebieux,12.1,20.5,14.2,10.1,11.2
2829,Flines-lez-Raches,13.9,21.8,14.5,10.6,11.4
2830,Fourmies,11.3,22.5,13.4,9.7,10.3
2831,Fournes-en-Weppes,17.7,27.5,15.5,11.1,11.7
2832,Frelinghien,14.3,24.3,14.4,10.7,10.8
2833,Fresnes-sur-Escaut,12.0,23.8,13.6,10.0,10.9
2834,Fretin,15.4,23.9,14.2,11.3,11.5
2835,Genech,16.6,26.6,14.8,11.5,11.1
2836,Ghyvelde,13.8,23.0,15.1,10.6,12.5
2837,Godewaersvelde,14.1,22.9,15.4,10.8,11.7
2838,Gommegnies,14.5,23.7,14.9,11.4,11.5
2839,Gondecourt,15.8,24.2,14.5,11.4,11.1
2840,La Gorgue,12.6,20.7,14.1,10.4,11.7
2841,Grande-Synthe,11.9,20.5,14.3,9.8,11.4
2842,Grand-Fort-Philippe,13.5,25.0,16.5,9.9,12.0
2843,Gravelines,15.2,27.7,17.7,10.0,11.6
2844,Guesnain,12.1,20.1,14.6,10.1,11.4
2845,Hallennes-lez-Haubourdin,13.7,21.9,14.0,10.6,11.1
2846,Halluin,13.0,23.3,13.9,10.5,10.7
2847,Hasnon,13.7,22.1,13.8,10.7,11.3
2848,Haspres,12.2,19.5,13.7,10.6,11.1
2849,Haubourdin,12.5,21.3,13.5,10.2,10.9
2850,Haulchin,12.6,21.9,14.1,10.6,11.2
2851,Hautmont,11.4,20.8,13.7,9.9,10.7
2852,Hazebrouck,12.4,22.6,14.0,10.1,10.6
2853,Hem,15.5,25.7,14.2,10.8,10.5
2854,Hergnies,13.2,22.8,13.8,10.3,11.3
2855,Hérin,12.2,20.0,14.3,10.5,10.9
2856,Herlies,15.3,22.8,15.2,11.3,11.2
2857,Hondschoote,13.0,22.9,14.9,10.2,11.7
2858,Hornaing,12.5,22.3,14.2,10.4,11.0
2859,Houplin-Ancoisne,14.9,23.7,14.6,11.0,11.2
2860,Houplines,12.6,21.3,13.6,10.3,10.7
2861,Hoymille,14.8,23.0,16.4,10.7,12.8
2862,Iwuy,11.7,20.6,13.6,9.8,10.6
2863,Jeumont,12.4,23.2,14.3,9.9,11.2
2864,Lallaing,12.0,20.7,13.4,10.3,11.1
2865,Lambersart,17.1,25.3,14.6,11.2,11.2
2866,Lambres-lez-Douai,13.7,24.7,14.9,10.6,11.6
2867,Landas,15.0,22.5,16.6,10.8,11.6
2868,Landrecies,11.4,21.1,14.4,9.7,10.4
2869,Lecelles,15.0,24.1,14.6,11.2,11.1
2870,Leers,13.8,21.9,14.2,11.1,11.0
2871,Leffrinckoucke,14.8,23.9,15.4,10.8,13.5
2872,Lesquin,14.7,22.5,15.3,10.7,11.0
2873,Leval,12.2,21.7,14.2,9.8,11.5
2874,Lewarde,12.6,23.0,14.2,10.2,11.4
2875,Lezennes,14.5,21.2,14.3,11.2,10.7
2876,Lille,14.1,22.0,13.5,10.3,10.3
2877,Linselles,14.7,24.4,14.4,10.9,10.9
2878,Lompret,20.5,28.8,15.0,12.3,11.9
2879,La Longueville,13.2,23.4,14.9,10.2,11.0
2880,Loon-Plage,13.9,26.5,16.2,10.2,12.2
2881,Loos,12.0,20.4,13.2,10.0,10.3
2882,Louvroil,11.2,20.5,12.9,9.7,10.8
2883,Lys-lez-Lannoy,12.9,21.0,13.4,10.6,10.5
2884,La Madeleine,15.4,23.0,13.6,10.8,10.7
2885,Maing,13.8,23.3,15.0,10.5,11.2
2886,Marchiennes,14.4,23.8,14.3,10.7,11.2
2887,Marcq-en-Baroeul,19.1,28.1,15.4,11.8,12.0
2888,Marly,13.0,22.1,14.1,10.3,11.5
2889,Marpent,11.8,22.7,14.4,9.6,11.1
2890,Marquette-lez-Lille,14.2,21.6,14.2,11.1,10.8
2891,Masnières,12.2,21.4,14.0,9.7,11.5
2892,Masny,11.9,21.7,13.6,10.3,11.2
2893,Maubeuge,12.0,22.7,13.9,10.0,10.7
2894,Mérignies,25.9,27.8,39.3,12.2,12.7
2895,Merville,12.5,21.2,14.1,10.2,12.0
2896,Méteren,13.9,21.0,14.5,10.9,11.4
2897,Monchecourt,12.4,19.7,14.8,9.9,11.7
2898,Mons-en-Baroeul,13.0,21.5,13.3,10.4,10.5
2899,Mons-en-Pévèle,15.9,26.5,15.8,11.3,10.5
2900,Montigny-en-Ostrevent,12.7,21.1,15.0,10.3,11.6
2901,Morbecque,14.2,23.9,15.0,10.6,12.1
2902,Mouvaux,18.3,28.1,14.8,11.6,11.1
2903,Neuville-en-Ferrain,13.8,21.7,14.3,11.1,10.7
2904,Neuville-Saint-Rémy,12.1,22.8,14.8,10.2,10.6
2905,Neuville-sur-Escaut,11.8,19.5,13.7,9.9,11.3
2906,Nieppe,13.8,24.7,14.3,10.5,11.0
2907,Nomain,15.4,24.1,15.5,10.9,11.5
2908,Onnaing,12.4,24.9,14.2,10.0,10.9
2909,Orchies,13.2,22.5,14.0,10.2,10.6
2910,Ostricourt,11.9,20.5,13.3,10.0,10.5
2911,Pecquencourt,12.1,21.8,13.8,10.1,11.2
2912,Pérenchies,13.4,22.5,14.0,10.4,10.7
2913,Petite-Forêt,12.2,21.0,14.1,10.1,10.9
2914,Phalempin,15.4,23.5,14.4,11.1,10.9
2915,Poix-du-Nord,12.1,21.3,14.3,9.4,11.1
2916,Pont-à-Marcq,14.7,22.5,14.7,11.1,10.9
2917,Pont-sur-Sambre,12.5,22.5,14.5,10.3,11.7
2918,Prémesques,16.8,24.7,15.1,12.0,11.5
2919,Prouvy,12.4,20.7,14.8,10.2,10.9
2920,Proville,13.5,24.3,14.6,10.3,10.5
2921,Provin,13.2,22.6,13.8,10.4,11.1
2922,Quarouble,12.8,21.3,14.3,10.8,11.2
2923,Le Quesnoy,12.3,22.3,13.9,9.7,10.8
2924,Quesnoy-sur-Deûle,14.3,23.2,14.6,10.8,10.8
2925,Quiévrechain,11.5,22.7,13.3,9.7,10.7
2926,Râches,13.0,24.1,14.1,10.1,11.3
2927,Raillencourt-Sainte-Olle,12.2,21.1,13.6,10.2,10.7
2928,Raimbeaucourt,13.9,23.0,14.6,10.6,11.6
2929,Raismes,11.7,20.7,13.6,10.0,10.8
2930,Recquignies,12.0,20.7,14.2,9.7,11.4
2931,Renescure,12.5,21.1,14.0,10.3,11.5
2932,Rexpoëde,13.1,19.6,15.7,10.1,11.7
2933,Roeulx,11.9,20.9,14.6,10.0,11.2
2934,Ronchin,13.6,21.2,14.0,10.5,10.6
2935,Roncq,14.7,24.9,14.0,11.0,11.0
2936,Roost-Warendin,12.7,21.5,14.8,10.2,11.4
2937,Roubaix,11.7,21.9,12.8,9.8,9.8
2938,Rousies,13.2,22.5,14.5,10.5,11.5
2939,Sainghin-en-Mélantois,18.7,28.2,15.4,11.1,11.2
2940,Sainghin-en-Weppes,14.1,22.2,14.3,11.0,11.0
2941,Sains-du-Nord,11.4,20.5,13.0,10.0,10.6
2942,Saint-Amand-les-Eaux,12.8,22.7,13.6,10.4,10.5
2943,Saint-André-lez-Lille,14.2,21.8,13.9,10.9,10.4
2944,Saint-Saulve,14.0,24.0,14.4,10.5,11.3
2945,Salomé,12.9,21.1,13.6,10.6,11.1
2946,Santes,15.6,23.9,14.5,11.0,12.0
2947,Saultain,14.3,23.9,14.0,10.9,11.3
2948,Seclin,13.7,23.5,13.8,10.5,10.4
2949,La Sentinelle,12.5,21.7,15.3,10.1,11.1
2950,Sequedin,14.4,22.7,14.9,11.3,11.4
2951,Sin-le-Noble,12.0,21.8,13.9,10.0,11.0
2952,Solesmes,11.5,21.1,13.8,9.8,10.7
2953,Somain,12.0,20.7,13.9,10.0,11.1
2954,Steenvoorde,13.5,24.0,14.5,10.3,11.2
2955,Steenwerck,13.0,21.5,13.8,10.7,10.7
2956,Templemars,14.3,21.4,14.2,11.1,11.0
2957,Templeuve,15.5,24.3,16.1,10.8,11.0
2958,Téteghem,15.7,26.3,16.2,10.9,12.8
2959,Thiant,12.7,20.9,14.6,10.4,11.2
2960,Thumeries,14.6,23.2,14.9,10.7,11.5
2961,Toufflers,14.3,22.1,14.6,11.2,10.7
2962,Tourcoing,12.0,21.1,13.0,10.2,10.1
2963,Trélon,11.1,22.1,13.2,10.1,10.0
2964,Trith-Saint-Léger,12.0,21.6,13.9,10.0,11.0
2965,Valenciennes,13.8,23.7,14.4,10.4,10.5
2966,Verlinghem,18.4,28.7,14.7,11.8,12.3
2967,Vieux-Berquin,14.5,22.6,15.0,12.7,11.9
2968,Vieux-Condé,11.4,21.1,13.9,9.8,10.3
2969,Villers-Outréaux,11.2,21.5,13.4,9.9,9.8
2970,Wahagnies,13.1,21.5,14.1,10.6,10.6
2971,Walincourt-Selvigny,11.7,21.3,13.1,9.6,10.5
2972,Wallers,12.4,19.2,14.0,10.4,10.9
2973,Wambrechies,15.9,25.4,14.4,11.0,10.8
2974,Warhem,14.4,24.6,16.2,10.5,12.1
2975,Wasquehal,16.6,25.5,15.5,11.4,10.8
2976,Watten,12.5,22.4,15.3,9.5,11.5
2977,Wattignies,13.7,23.7,13.9,10.5,10.5
2978,Wattrelos,11.5,19.2,12.9,10.1,10.2
2979,Wavrin,14.0,22.6,14.9,10.8,11.0
2980,Waziers,11.2,19.4,13.2,9.8,10.7
2981,Wervicq-Sud,14.5,24.7,14.4,11.4,10.9
2982,Wignehies,11.1,18.6,13.7,9.6,10.6
2983,Willems,15.2,24.7,14.3,11.1,11.1
2984,Wormhout,13.8,24.3,15.2,10.4,11.4
2985,Agnetz,15.2,23.8,15.3,11.0,12.3
2986,Andeville,13.7,22.0,15.3,11.1,12.1
2987,Auneuil,12.9,21.8,14.7,10.7,11.2
2988,Bailleul-sur-Thérain,12.9,21.7,14.4,10.7,11.5
2989,Beauvais,12.5,22.4,13.6,10.2,10.7
2990,Béthisy-Saint-Pierre,13.3,22.2,15.1,11.1,11.8
2991,Boran-sur-Oise,15.2,24.2,15.4,11.4,12.4
2992,Bornel,13.9,22.3,15.1,11.4,11.8
2993,Brenouille,14.5,24.5,15.8,11.6,12.1
2994,Bresles,12.3,21.3,14.1,10.1,11.1
2995,Breteuil,11.6,21.8,13.7,10.2,10.6
2996,Breuil-le-Sec,14.0,22.6,15.0,11.1,12.4
2997,Breuil-le-Vert,14.8,23.9,15.5,11.0,12.1
2998,Bury,12.8,23.0,14.2,10.4,11.4
2999,Cauffry,13.5,20.9,15.1,11.0,12.2
3000,Chambly,14.2,23.1,15.3,11.4,12.0
3001,Chantilly,17.8,28.1,15.4,11.7,12.2
3002,La Chapelle-en-Serval,17.5,25.4,17.2,12.7,13.2
3003,Chaumont-en-Vexin,13.9,25.3,14.7,11.3,11.7
3004,Choisy-au-Bac,17.0,28.6,16.2,11.2,13.1
3005,Cires-lès-Mello,12.4,22.9,15.0,10.4,9.5
3006,Clairoix,14.9,25.6,15.5,10.8,12.0
3007,Clermont,13.1,23.7,14.4,10.5,11.0
3008,Compiègne,15.3,27.6,14.9,10.7,11.3
3009,Coye-la-Forêt,21.0,31.0,16.4,13.1,13.3
3010,Creil,11.7,20.8,13.7,10.2,10.6
3011,Crépy-en-Valois,14.1,24.0,15.7,11.3,11.7
3012,Crèvecoeur-le-Grand,11.8,21.8,14.0,10.1,10.6
3013,Cuise-la-Motte,13.3,22.0,15.7,10.6,11.7
3014,Estrées-Saint-Denis,13.5,23.6,15.6,10.8,11.7
3015,Fitz-James,13.3,23.1,14.3,10.5,11.8
3016,Formerie,11.5,25.3,15.1,9.9,10.8
3017,Gouvieux,20.3,31.7,16.9,12.3,13.0
3018,Grandvilliers,11.9,22.7,14.2,9.9,10.7
3019,Hermes,12.3,20.7,14.3,10.3,11.4
3020,Jaux,16.0,26.9,16.4,11.4,12.5
3021,Lacroix-Saint-Ouen,15.8,26.4,14.8,11.8,12.1
3022,Lagny-le-Sec,16.7,24.8,16.2,13.5,12.7
3023,Laigneville,13.6,22.8,15.1,10.9,11.6
3024,Lamorlaye,22.0,34.0,16.5,13.1,14.4
3025,Liancourt,12.5,22.1,14.3,10.3,11.4
3026,Longueil-Annel,13.1,24.1,14.6,10.4,11.9
3027,Maignelay-Montigny,12.2,22.7,14.2,9.8,11.1
3028,Margny-lès-Compiègne,14.6,23.5,14.9,10.8,11.7
3029,Méru,12.9,22.8,14.5,10.7,11.4
3030,Le Mesnil-en-Thelle,15.2,24.2,16.1,12.2,12.6
3031,Le Meux,15.5,25.3,16.3,11.5,12.1
3032,Monchy-Saint-Éloi,14.3,22.8,15.3,11.5,12.2
3033,Montataire,11.8,22.0,14.0,10.1,11.0
3034,Mouy,12.1,22.1,14.2,10.3,10.7
3035,Nanteuil-le-Haudouin,14.4,25.1,16.0,11.5,12.2
3036,Neuilly-en-Thelle,14.1,23.0,15.8,11.1,12.0
3037,Noailles,13.2,23.3,14.7,10.8,11.7
3038,Nogent-sur-Oise,12.6,22.1,14.8,10.5,11.0
3039,Noyon,12.3,23.7,14.2,10.1,11.0
3040,Orry-la-Ville,19.6,28.1,17.0,13.1,13.1
3041,Le Plessis-Belleville,15.0,23.8,16.3,11.9,12.6
3042,Pontpoint,15.6,23.4,16.1,12.0,12.3
3043,Pont-Sainte-Maxence,13.4,23.8,15.0,11.0,11.5
3044,Précy-sur-Oise,17.4,26.9,17.2,12.3,12.5
3045,Rantigny,12.7,21.0,14.5,10.8,11.4
3046,Ribécourt-Dreslincourt,13.0,22.0,15.4,10.4,11.9
3047,Sainte-Geneviève,13.7,23.6,16.1,11.0,11.6
3048,Saint-Just-en-Chaussée,11.6,20.5,13.8,10.3,10.7
3049,Saint-Leu-d'Esserent,14.1,23.9,15.6,11.3,11.7
3050,Saint-Maximin,13.0,22.0,14.5,10.8,11.1
3051,Senlis,19.1,33.7,16.8,12.4,11.9
3052,Sérifontaine,12.5,22.5,14.8,10.9,11.4
3053,Thourotte,13.4,23.5,15.7,10.3,11.9
3054,Trosly-Breuil,14.2,27.0,15.7,11.2,11.7
3055,Venette,14.2,24.3,14.4,10.5,11.7
3056,Verberie,14.1,24.7,15.3,10.6,12.2
3057,Verneuil-en-Halatte,16.4,25.5,15.8,12.0,13.6
3058,Villers-Saint-Paul,13.1,22.6,14.8,10.8,11.2
3059,Villers-sous-Saint-Leu,16.5,25.2,16.2,12.2,13.0
3060,Alençon,11.8,22.4,13.2,9.9,9.8
3061,Argentan,11.2,21.0,12.9,9.5,10.5
3062,Athis-de-l'Orne,12.2,22.9,13.8,10.2,10.7
3063,Condé-sur-Sarthe,12.7,21.8,13.7,10.6,10.8
3064,Damigny,13.1,21.6,13.6,10.9,10.7
3065,Domfront,10.6,21.0,13.1,9.8,9.5
3066,La Ferté-Macé,11.3,23.4,13.5,9.6,10.0
3067,Flers,11.9,24.2,13.7,10.0,10.5
3068,Gacé,11.7,27.6,13.7,9.7,10.5
3069,L'Aigle,11.7,22.9,12.8,9.6,10.5
3070,Mortagne-au-Perche,11.7,22.9,13.4,9.7,9.4
3071,Saint-Georges-des-Groseillers,12.8,24.8,13.9,10.2,10.9
3072,Saint-Germain-du-Corbéis,12.7,25.6,13.5,10.6,10.4
3073,Sées,10.8,21.3,13.7,10.1,9.0
3074,Bagnoles-de-l'Orne,13.8,25.7,14.5,10.8,10.4
3075,Tinchebray,11.6,22.3,13.3,9.7,10.8
3076,Vimoutiers,11.2,23.5,11.8,9.7,10.6
3077,Achicourt,12.5,22.4,13.9,10.4,10.2
3078,Aire-sur-la-Lys,12.6,23.5,14.2,10.3,11.1
3079,Aix-Noulette,13.0,22.6,14.2,10.3,11.4
3080,Allouagne,13.0,22.5,14.8,10.4,11.5
3081,Angres,12.8,23.7,14.1,10.2,10.9
3082,Annay,12.5,22.0,14.0,10.8,11.2
3083,Annequin,12.0,20.6,13.8,10.3,11.1
3084,Annezin,13.2,23.2,14.4,10.6,11.4
3085,Anzin-Saint-Aubin,18.8,26.8,20.6,11.0,11.2
3086,Ardres,13.0,25.4,15.1,10.1,11.6
3087,Arques,12.0,23.3,13.8,9.9,11.0
3088,Arras,13.3,23.8,14.1,10.1,10.1
3089,Auchel,11.4,21.1,13.5,9.9,10.7
3090,Auchy-les-Mines,12.0,19.9,13.8,10.0,10.9
3091,Audruicq,13.2,24.0,15.6,10.4,11.7
3092,Auxi-le-Château,11.2,20.2,13.3,9.6,10.4
3093,Avesnes-le-Comte,11.1,22.3,13.8,9.8,9.8
3094,Avion,11.7,21.0,13.5,10.0,10.9
3095,Bapaume,11.3,22.1,14.0,9.4,9.8
3096,Barlin,11.5,21.4,14.0,9.7,10.8
3097,Beaurains,13.0,23.1,14.0,10.6,10.5
3098,Berck,11.4,23.4,13.4,9.6,9.1
3099,Béthune,13.0,24.3,13.7,10.3,10.5
3100,Beuvry,12.5,21.2,14.5,10.0,11.2
3101,Biache-Saint-Vaast,12.3,21.1,14.0,10.1,11.3
3102,Billy-Berclau,13.1,21.6,14.1,10.4,11.6
3103,Billy-Montigny,11.4,20.7,13.6,9.6,10.7
3104,Blendecques,11.8,22.8,13.8,10.0,11.0
3105,Boulogne-sur-Mer,11.5,21.9,13.2,9.8,10.2
3106,Bouvigny-Boyeffles,13.8,24.2,14.6,10.0,11.4
3107,Brebières,13.1,23.0,14.6,10.6,11.3
3108,Bruay-la-Buissière,11.4,21.6,13.8,9.9,10.5
3109,Bully-les-Mines,11.8,21.2,13.9,10.1,10.6
3110,Burbure,12.0,21.6,14.2,10.2,11.1
3111,Calais,12.0,21.1,13.9,10.0,11.3
3112,Calonne-Ricouart,11.5,21.6,14.3,9.7,10.7
3113,Camiers,11.6,20.9,13.9,9.7,10.6
3114,Carvin,12.1,21.5,13.7,10.1,10.5
3115,Cauchy-à-la-Tour,11.8,22.4,13.9,9.7,10.9
3116,Chocques,12.2,20.3,13.7,10.0,11.6
3117,Condette,17.7,31.3,16.5,11.2,11.2
3118,Coquelles,14.4,24.5,15.1,10.8,12.1
3119,Corbehem,12.5,22.9,13.9,10.0,11.9
3120,Coulogne,13.0,21.8,15.1,10.4,12.0
3121,Courcelles-lès-Lens,11.8,20.1,13.7,9.9,11.1
3122,Courrières,12.2,20.3,13.8,10.3,10.7
3123,La Couture,14.6,25.4,15.2,11.0,12.1
3124,Cucq,13.1,24.5,13.8,9.8,10.4
3125,Dainville,14.1,24.6,15.1,11.0,10.4
3126,Desvres,11.5,21.2,13.2,9.8,10.9
3127,Divion,11.4,21.1,13.7,9.6,10.7
3128,Dourges,12.3,21.4,14.1,10.3,11.0
3129,Douvrin,12.6,21.3,13.6,10.3,11.2
3130,Drocourt,11.9,20.2,13.7,10.3,10.8
3131,Ecques,13.0,25.7,14.2,10.2,11.3
3132,Éleu-dit-Leauwette,12.3,20.3,13.7,10.0,11.7
3133,Éperlecques,13.0,23.0,15.1,10.1,11.4
3134,Équihen-Plage,11.6,21.2,13.8,9.9,10.6
3135,Étaples,11.2,23.6,13.0,9.7,10.2
3136,Évin-Malmaison,11.9,19.5,13.8,9.8,11.0
3137,Fleurbaix,18.4,27.4,15.9,11.4,13.5
3138,Fouquières-lès-Lens,11.7,21.8,13.5,9.8,10.9
3139,Fruges,10.5,20.4,13.7,9.7,8.8
3140,Givenchy-en-Gohelle,14.4,26.1,15.1,11.0,11.1
3141,Gonnehem,14.6,27.3,15.0,10.3,11.6
3142,Grenay,10.9,17.9,13.0,9.5,10.6
3143,Guînes,11.8,21.3,15.4,9.8,11.3
3144,Haillicourt,11.7,20.8,13.3,10.0,11.0
3145,Haisnes,12.2,20.8,13.9,10.3,11.1
3146,Harnes,11.9,21.2,13.5,9.9,11.0
3147,Hénin-Beaumont,12.1,21.9,13.7,9.9,10.7
3148,Hersin-Coupigny,12.0,21.8,13.7,9.8,11.3
3149,Hesdin,11.5,21.2,13.5,10.2,10.2
3150,Hinges,15.1,25.3,15.2,11.1,12.8
3151,Houdain,12.0,22.5,14.1,10.1,10.8
3152,Hulluch,12.5,20.3,14.3,10.5,11.3
3153,Isbergues,12.3,21.7,14.6,9.9,11.4
3154,Labourse,12.8,20.8,14.7,10.1,11.5
3155,Lapugnoy,12.7,21.2,14.3,10.3,11.2
3156,Laventie,14.4,23.9,14.4,10.5,11.1
3157,Leforest,12.3,20.7,13.8,10.3,11.1
3158,Lens,11.8,22.2,13.8,9.9,10.4
3159,Lestrem,15.2,23.3,15.9,11.6,13.8
3160,Liévin,11.7,21.5,13.7,10.0,10.7
3161,Lillers,12.3,21.7,14.5,10.0,11.0
3162,Locon,15.2,24.2,15.6,11.5,13.0
3163,Loison-sous-Lens,12.0,21.4,14.0,10.2,11.1
3164,Longuenesse,12.0,22.3,13.9,9.9,10.8
3165,Loos-en-Gohelle,12.0,21.3,13.9,10.1,10.7
