,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
30295,Freney,8,2,2,2,2,0,0,0,0,0
30296,Fréterive,23,17,5,1,0,0,0,0,0,0
30297,Frontenex,176,108,46,11,8,2,1,0,0,0
30298,Gerbaix,13,9,4,0,0,0,0,0,0,0
30299,La Giettaz,71,59,11,1,0,0,0,0,0,0
30300,Gilly-sur-Isère,287,168,71,25,15,4,2,2,0,0
30301,Granier,18,16,2,0,0,0,0,0,0,0
30302,Gresin,16,12,3,0,1,0,0,0,0,0
30303,Grésy-sur-Aix,363,228,85,18,20,10,0,2,0,0
30304,Grésy-sur-Isère,48,33,10,1,4,0,0,0,0,0
30305,Grignon,91,71,17,1,2,0,0,0,0,0
30306,Hautecour,21,15,6,0,0,0,0,0,0,0
30307,Hauteluce,355,262,66,10,12,4,0,1,0,0
30308,Hauteville,12,11,1,0,0,0,0,0,0,0
30309,Hermillon,29,12,4,3,7,3,0,0,0,0
30310,Jacob-Bellecombette,92,76,10,3,1,1,1,0,0,0
30311,Jarrier,19,19,0,0,0,0,0,0,0,0
30312,Jarsy,27,26,0,0,1,0,0,0,0,0
30313,Jongieux,17,12,3,1,1,0,0,0,0,0
30314,Laissaud,41,27,10,2,0,2,0,0,0,0
30315,Landry,198,165,26,4,3,0,0,0,0,0
30316,Lanslebourg-Mont-Cenis,202,149,35,12,2,3,0,1,0,0
30317,Lanslevillard,186,143,32,8,2,1,0,0,0,0
30318,Lépin-le-Lac,45,32,11,1,1,0,0,0,0,0
30319,Lescheraines,88,59,18,5,3,2,1,0,0,0
30320,Loisieux,12,10,2,0,0,0,0,0,0,0
30321,Lucey,11,8,2,0,1,0,0,0,0,0
30322,Mâcot-la-Plagne,833,650,118,36,16,10,3,0,0,0
30323,Les Marches,193,121,44,9,9,8,2,0,0,0
30324,Marcieux,10,7,3,0,0,0,0,0,0,0
30325,Marthod,58,41,11,2,3,0,0,1,0,0
30326,Mercury,139,114,23,0,2,0,0,0,0,0
30327,Méry,157,91,36,12,5,6,5,1,1,0
30328,Meyrieux-Trouet,5,5,0,0,0,0,0,0,0,0
30329,Modane,367,252,85,10,10,6,1,3,0,0
30330,Mognard,23,13,7,1,1,1,0,0,0,0
30331,Les Mollettes,20,18,1,0,1,0,0,0,0,0
30332,Montagnole,43,39,3,1,0,0,0,0,0,0
30333,Montagny,50,45,3,2,0,0,0,0,0,0
30334,Montailleur,36,33,2,1,0,0,0,0,0,0
30335,Montaimont,9,7,2,0,0,0,0,0,0,0
30336,Montcel,65,53,10,0,2,0,0,0,0,0
30337,Montendry,2,1,1,0,0,0,0,0,0,0
30338,Montgellafrey,21,12,7,1,1,0,0,0,0,0
30339,Montgilbert,6,6,0,0,0,0,0,0,0,0
30340,Montgirod,38,34,4,0,0,0,0,0,0,0
30341,Monthion,29,24,3,1,1,0,0,0,0,0
30342,Montmélian,286,168,75,15,7,15,4,1,1,0
30343,Montricher-Albanne,80,63,7,1,0,6,2,1,0,0
30344,Montsapey,1,1,0,0,0,0,0,0,0,0
30345,Montvalezan,308,244,48,8,6,1,0,1,0,0
30346,Montvernier,7,7,0,0,0,0,0,0,0,0
30347,La Motte-en-Bauges,30,30,0,0,0,0,0,0,0,0
30348,La Motte-Servolex,812,475,191,56,50,24,10,6,0,0
30349,Motz,19,13,5,0,0,0,1,0,0,0
30350,Moûtiers,529,301,166,28,18,11,2,3,0,0
30351,Mouxy,90,70,16,0,2,1,1,0,0,0
30352,Myans,52,36,15,0,1,0,0,0,0,0
30353,Nances,31,26,3,0,1,0,1,0,0,0
30354,Notre-Dame-de-Bellecombe,131,97,29,3,1,0,0,1,0,0
30355,La Léchère,166,123,19,7,7,6,2,0,2,0
30356,Notre-Dame-des-Millières,61,44,14,1,1,1,0,0,0,0
30357,Notre-Dame-du-Cruet,11,9,2,0,0,0,0,0,0,0
